Pattern,Model,RMSLE,MAE,RMSE
Regular,Seasonal Naive,0.512733695284994,145.59306610306737,445.9908682254061
Regular,XGBoost,0.4776441214773741,122.80136727204992,349.5397311656871
Regular,LightGBM,0.4475660336947778,125.63948289150018,354.0801953604099
Regular,XGBoost Tuned,0.4154781658277456,123.2708752047474,361.2693634593206
Regular,LightGBM Tuned,0.45295550892246184,124.26344722201007,355.2950012407562
Regular,DeepAR,0.379610852043351,110.7115427589007,347.6664419556519
Intermittent,Seasonal Naive,0.6156119170961092,0.996996996996997,3.8890004274008922
Intermittent,XGBoost,0.5769211940562153,1.0672620263107278,3.6337296708498497
Intermittent,LightGBM,0.8399728640393019,1.7465568430640666,3.399336474416229
Intermittent,XGBoost Tuned,0.5701360982101995,1.4399531108839019,6.216061404099337
Intermittent,LightGBM Tuned,0.6315795002020992,1.304003920335934,4.946577448908163
Intermittent,DeepAR,0.5063963799876477,0.9434174282284564,4.03414021952136
Irregular,Seasonal Naive,0.8724709480977811,30.222640772486773,89.91710238866757
Irregular,XGBoost,0.7591240077382595,26.94836715442389,82.0679177636299
Irregular,LightGBM,0.6603473565517853,28.248469351304767,84.91727840582973
Irregular,XGBoost Tuned,0.5756053125514282,26.07949553701748,80.13155173073858
Irregular,LightGBM Tuned,0.6587959805020915,26.7909309672518,80.32498071903954
Irregular,DeepAR,0.6751083203624197,30.352681647185555,169.99887736158095
