Model,RMSLE,MAE,RMSE,WMAPE,Pattern_Wins,Family_Wins
DeepAR,0.4761440727253914,79.03088690031416,291.935623705704,16.475728960097648,2,10
XGBoost Tuned,0.47636226537020826,86.3583716056504,294.2910546114313,18.003304528326545,1,2
LightGBM Tuned,0.5292601884909904,87.14446136710828,289.5127667314283,18.167182252037577,0,0
LightGBM,0.5628440110938903,88.4183991525264,288.82424831977806,18.43276264076649,0,0
XGBoost,0.5636901796712299,86.19407247516523,285.00896071035174,17.969052756033165,0,0
Seasonal Naive,0.6219440721899362,101.77920723934801,362.78531218176926,21.218117346503426,0,0
