Model,MAE,RMSE,RMSLE,WMAPE
Seasonal Naive,101.77920723934801,362.78531218176926,0.6219440721899362,21.218117346503426
XGBoost,86.19407247516523,285.00896071035174,0.5636901796712299,17.969052756033165
LightGBM,88.4183991525264,288.82424831977806,0.5628440110938903,18.43276264076649
