Model,RMSLE,MAE,RMSE,WMAPE
XGBoost Tuned,0.4763622666358951,86.3583716056504,294.29105461143126,18.003304528326545
LightGBM Tuned,0.5292601884909904,87.14446136710828,289.5127667314283,18.167182252037577
